n,our_time,sdpa_time,mosek_time,our_mem,sdpa_mem,mosek_mem,our_res,sdpa_res,mosek_res
10.0,0.00024651,0.008221677,0.030592714,37536.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.00030968,0.010181106,0.016314838,37248.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000283304,0.008580011,0.024661839,37824.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000203663,0.006550777,0.006321762,37536.0,750720.0,590656.0,0.0,0.0,0.0
10.0,0.000241972,0.00856889,0.029750975,36672.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000238904,0.010094315,0.014828933,37248.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000231895,0.008697045,0.021840113,34944.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000239311,0.006895733,0.013413195,37824.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000205739,0.006455157,0.014141455,37824.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000199226,0.006356239,0.011599932,37248.0,750720.0,590656.0,0.0,0.0,0.0
10.0,0.000194667,0.006099988,0.006329755,36384.0,750720.0,590656.0,0.0,0.0,0.0
10.0,0.000200244,0.006542652,0.013440431,37536.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000193981,0.006750965,0.014199109,37536.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000197418,0.006742638,0.011939479,37824.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000203932,0.006808349,0.011312054,37536.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000208875,0.006282344,0.011360504,37248.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000245474,0.006769206,0.013339319,37536.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000198203,0.006030988,0.005630417,37536.0,750720.0,590656.0,0.0,0.0,0.0
10.0,0.000186383,0.006915917,0.022502118,37536.0,750720.0,589552.0,0.0,0.0,2.0
10.0,0.000201367,0.005957815,0.01242368,36672.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.00020611,0.005923263,0.014904851,37536.0,750720.0,589552.0,0.0,0.0,2.0
10.0,0.000196608,0.006587376,0.012717795,37536.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000192536,0.006337416,0.015477278,37248.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000208265,0.006255148,0.022501811,37248.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000194073,0.006923563,0.015396795,37536.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000190957,0.006225766,0.012667163,37824.0,750720.0,590656.0,0.0,0.0,0.0
10.0,0.000199474,0.005861786,0.01117653,37536.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000200553,0.006494819,0.01440533,37536.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000199336,0.006453507,0.015424175,37536.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000243717,0.008617088,0.018275339,37824.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000254821,0.008771577,0.013676974,37824.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000241298,0.008880647,0.014797208,37536.0,750720.0,589552.0,0.0,0.0,0.0
